experiment,dataset,method,repeats,time_sec_mean,sampling_time_sec_mean,burn_covariance_time_sec_mean,gvi_covariance_time_sec_mean,ess_mean_mean,efficiency_mean,efficiency_sd,p_jump_mean,rho1_mean,epsilon_mean,L_mean
4.2.1_logistic,german,AM,3,47.080751566662606,47.080751566662606,,,10806.605486347005,0.010806605486346967,0.0009299615378125678,0.22926138613861383,0.9743268407887863,,
4.2.1_logistic,german,HMC,3,938.6637422000058,690.5268226333379,125.91629253333183,,910497.0076294205,0.9104970076294204,0.11789546618274276,0.9752214521452146,0.0037264556158349664,0.21465310378807143,14.666666666666666
4.2.1_logistic,german,HMC-GVI,3,404.69098586666223,260.46650580000033,,3.683137566661268,991130.9436198436,0.9911309436198437,0.0051216205453193525,0.9117963696369636,-0.0274304085303531,0.4183185838848343,4.0
4.2.1_logistic,german,MALA,3,69.57146786666999,67.3221306999961,1.4549340333323926,,146879.23087600284,0.14687923087600283,0.0005029672574387582,0.5717996699669966,0.7283216582880399,1.519338872463728,
4.2.1_logistic,german,RMH,3,22.977240966671772,22.7531975999979,0.22404300000440946,,11040.779602646928,0.0110407796026469,0.0002591915096275036,0.24054158415841578,0.9743935678837262,,
4.2.1_logistic,pima,AM,3,37.94945599999725,37.94945599999725,,,37729.339874468664,0.03772933987446864,0.000595714275327009,0.25006897689768975,0.9252480726309562,,
4.2.1_logistic,pima,HMC,3,580.4651355999958,416.49115056665806,82.5673163333413,,971648.9375330107,0.9716489375330107,0.047553072023500544,0.9773673267326731,-0.006648211584474334,0.22416572049091674,14.0
4.2.1_logistic,pima,HMC-GVI,3,345.24533389999607,312.68371110000106,,2.5434986999898683,997198.6198930141,0.9971986198930142,0.002900784865089136,0.9929336633663367,-0.022332952105201698,0.1599999999999999,10.0
4.2.1_logistic,pima,MALA,3,51.400665566664735,49.88003866666986,0.98166879999917,,259883.44131705933,0.25988344131705926,0.021691715160055827,0.4986818481848185,0.5510281326475409,1.7093655160503924,
4.2.1_logistic,pima,RMH,3,17.382351133332122,17.229367633330792,0.15298270000009015,,37141.550450731,0.03714155045073093,0.0002438316221127688,0.25128415841584156,0.9252764980335071,,
4.2.2_gaussian_100d,gaussian_100d,AM,3,117.73227186666918,117.73227186666918,,,2517.00509044229,0.0025170050904422332,7.3449801073863435e-06,0.3770574257425742,0.9938137048481023,,
4.2.2_gaussian_100d,gaussian_100d,HMC,3,252.44889596666326,199.01715059999938,28.50223316665991,,941534.1280747015,0.9415341280747015,0.018082530417273417,0.9902138613861385,-0.005858757479396567,0.08303682301538623,27.333333333333332
4.2.2_gaussian_100d,gaussian_100d,HMC-GVI,3,116.20744653332319,104.78708343333953,,0.3617760333290789,981118.7264517857,0.9811187264517854,0.0078093976500414825,0.9283792079207922,-0.0309762720811796,0.26666666666666666,6.333333333333333
4.2.2_gaussian_100d,gaussian_100d,MALA,3,24.768711233332095,23.45851163333282,0.7537547000004755,,4861.252131547767,0.004861252131547734,0.004486165983719483,0.5675379537953796,0.9620494305515889,1.161456223559648,
4.2.2_gaussian_100d,gaussian_100d,RMH,3,8.839309266666532,8.718636033328949,0.12067276666736382,,25.246289734308032,2.5246289734308033e-05,1.1831382087495738e-05,0.5592993399339935,0.9972408048998206,,
4.2.3_glmm,glmm_polypharmacy,HMC,3,9856.905805366667,8986.775369033334,509.3010191666593,,808331.2983047446,0.8083312983047447,0.04163395845513912,0.9772402640264026,-0.0170397323601721,0.07726797333305056,30.666666666666668
4.2.3_glmm,glmm_polypharmacy,HMC-GVI,3,3223.5988081333344,3157.7791102333285,,4.886697066666481,916896.6216842079,0.9168966216842079,0.00239608555929438,0.875349504950495,-0.048073294790124795,0.24,8.0
4.2.3_glmm,glmm_polypharmacy,MALA,3,356.5509187333325,304.13970709998586,41.644164366667006,,204.51834718971057,0.00020451834718963335,2.1357916942926982e-05,0.6802069306930694,0.9902751175481977,0.45288367032098514,
4.2.3_glmm,glmm_polypharmacy,MALA-GVI,3,319.1606948999882,300.9810822999959,,6.244849066667181,26750.420755492338,0.0267504207554923,0.00010384091582872832,0.6900904290429043,0.9423612212130843,1.2,
